Kalun+kaol.intmx.fd
sulfate_kalun450c.fd
sulfate_kieserite.fd
sulfate_mascagnite.fd
sulfate_mirabilite-wet_soil.fd
sulfate_na40alun400c.fd
sulfate_na63alun300c.fd
sulfate_na82alun100c.fd
sulfate_naalun150c.fd
sulfate_naalun300c.fd
sulfate_naalun450c.fd
sulfate_syngenite.fd
sulfate_szomolnokite.fd
sulfate_szomolnokite_heated.fd
talc+calcite.parkcity.fd
talc+carbonate.parkcity.fd
talc.all.fd
talc.crsgrnd.fd
talc.fngrnd.fd
topaz.fd
tremolite.or.talc.fd
ulexite.fd
vegetation.dry+green.fd
vegetation1.fd
water+mont0.5gpl.fd
water+mont1.67gpl.fd
water+mont16.5gpl.fd
water+mont5.01gpl.fd
water.high.chlorophyll.fd
water.low.chlorophyll.fd
water.red.algae.fd
white.crust.fd
zeolite_analcime.fd
zeolite_natrolite.fd
zoisite.fd
zunyite.fd
